Subcriteria,Entropy,CRITIC,MEREC,Std_Dev,Fused
SC01,0.032187,0.033356,0.037911,0.033368,0.034854
SC02,0.027312,0.032381,0.036524,0.031622,0.032805
SC03,0.040914,0.038222,0.036029,0.037765,0.038316
SC04,0.036739,0.031838,0.043751,0.033047,0.035952
SC05,0.032029,0.038110,0.026392,0.037694,0.033460
SC06,0.039841,0.034606,0.045098,0.033909,0.038558
SC07,0.027455,0.037989,0.020488,0.037441,0.029667
SC08,0.036343,0.037958,0.029753,0.038390,0.035817
SC09,0.033502,0.033814,0.043022,0.032331,0.035872
SC10,0.037758,0.031009,0.048140,0.032099,0.036532
SC11,0.030962,0.037278,0.025167,0.037532,0.032180
SC12,0.042120,0.039480,0.032570,0.039786,0.038854
SC13,0.032143,0.036841,0.027733,0.037300,0.033714
SC14,0.029573,0.035112,0.025999,0.036481,0.031928
SC15,0.039347,0.033618,0.045590,0.033352,0.037144
SC16,0.043164,0.035819,0.041774,0.036161,0.038783
SC17,0.033666,0.032461,0.042438,0.032484,0.035065
SC18,0.050482,0.043542,0.030945,0.043655,0.041573
SC19,0.035762,0.038242,0.031628,0.037395,0.035687
SC20,0.035255,0.034343,0.038548,0.034271,0.035967
SC21,0.035943,0.032041,0.046029,0.032173,0.036268
SC22,0.034014,0.034011,0.038607,0.034022,0.035418
SC23,0.035459,0.035772,0.039311,0.034783,0.037144
SC24,0.033850,0.036482,0.028392,0.037778,0.034661
SC25,0.027137,0.035591,0.027607,0.034754,0.032234
SC26,0.035363,0.040202,0.025491,0.039922,0.035219
SC27,0.045980,0.037652,0.040206,0.038012,0.040197
SC28,0.035701,0.032229,0.044858,0.032474,0.036132
